x,y,zx,zy,zxy,ncd
"AltitudeDiferença","TMINMAX",1391,1176,2666,1.071171818835370
"AltitudeDiferença","TMINMED",1391,1200,2680,1.063982746225737
"AltitudeDiferença","TMINMEDIAN",1391,1182,2674,1.072609633357297
"AltitudeDiferença","TMINMIN",1391,1204,2654,1.042415528396837
"AltitudeDiferença","TMINSOMA",1391,1864,3259,1.002145922746781
"AltitudeDiferença","TMOL1stQ",1391,1227,2693,1.053918044572250
"AltitudeDiferença","TMOLMEDIAN",1391,1187,2652,1.053199137311287
"AltitudeDiferença","TMOLMIN",1391,1208,2679,1.057512580877067
"AltitudeDiferença","Talhão",1391,3126,4497,0.993602047344850
"AltitudeDiferença","TipoSafra",1391,911,2418,1.083393242271747
"AltitudeDiferença","UF",1391,893,2356,1.051761322789360
"AltitudeDiferença","URMAX1stQ",1391,1271,2711,1.035226455787204
"AltitudeDiferença","URMAX3stQ",1391,1117,2589,1.058231488138030
"AltitudeDiferença","URMAXMAX",1391,1093,2564,1.057512580877067
"AltitudeDiferença","URMAXMED",1391,1261,2709,1.040977713874910
"AltitudeDiferença","URMAXMEDIAN",1391,1181,2651,1.056793673616103
"AltitudeDiferença","URMAXMIN",1391,1323,2745,1.022286125089863
"AltitudeDiferença","URMAXSOMA",1391,1957,3368,1.010219724067450
"AltitudeDiferença","URMED1stQ",1391,1426,2816,0.999298737727910
"AltitudeDiferença","URMED3stQ",1391,1383,2786,1.008626887131560
"AltitudeDiferença","URMEDMAX",1391,1159,2622,1.051761322789360
"AltitudeDiferença","URMEDMED",1391,1405,2805,1.006405693950178
"AltitudeDiferença","URMEDMEDIAN",1391,1415,2813,1.004946996466431
"AltitudeDiferença","URMEDMIN",1391,1341,2751,1.013659237958303
"AltitudeDiferença","URMEDSOMA",1391,1997,3373,0.992488733099649
"AltitudeDiferença","URMIN1stQ",1391,1433,2819,0.996510816468946
"AltitudeDiferença","URMIN3stQ",1391,1423,2821,1.004919184820801
"AltitudeDiferença","URMINMAX",1391,1228,2687,1.048885693745507
"AltitudeDiferença","URMINMED",1391,1448,2829,0.993093922651934
"AltitudeDiferença","URMINMEDIAN",1391,1427,2814,0.997196916608269
"AltitudeDiferença","URMINMIN",1391,1309,2728,1.020129403306973
"AltitudeDiferença","URMINSOMA",1391,1953,3300,0.977470558115719
"AltitudeDiferença","VTMED2M1stQ",1391,1136,2564,1.026599568655644
"AltitudeDiferença","VTMED2M3stQ",1391,1179,2588,1.012940330697340
"AltitudeDiferença","VTMED2MMAX",1391,1214,2603,0.998562185478073
"AltitudeDiferença","VTMED2MMED",1391,1160,2571,1.014378145219267
"AltitudeDiferença","VTMED2MMEDIAN",1391,1174,2585,1.014378145219267
"AltitudeDiferença","VTMED2MMIN",1391,1096,2531,1.031631919482387
"AltitudeDiferença","VTMED2MSOMA",1391,1732,3061,0.964203233256351
"AltitudeDiferença","codareaestacao",1391,1310,2733,1.023005032350827
"AltitudeDiferença","ÁreaColhidaha",1391,1887,3179,0.947535771065183
"AltitudeDiferença","ÁreaInsumoha",1391,1880,3172,0.947340425531915
"AltitudeMaxm","AltitudeMedm",1566,2293,3742,0.948975141735717
"AltitudeMaxm","AltitudeMinm",1566,1540,2962,0.908045977011494
"AltitudeMaxm","AssistenteTécnicoID",1566,1197,2835,1.045977011494253
"AltitudeMaxm","Ciclodias",1566,1602,3223,1.034332084893883
"AltitudeMaxm","ClasseSoloBR",1566,1327,3049,1.099616858237548
"AltitudeMaxm","ColheitaDecendio",1566,1039,2545,0.961685823754789
"AltitudeMaxm","ColheitaFinal",1566,1494,3116,1.035759897828863
"AltitudeMaxm","ColheitaInicial",1566,1499,3121,1.035759897828863
"AltitudeMaxm","ColheitaMes",1566,1070,2752,1.074074074074074
"AltitudeMaxm","CooperativaID",1566,922,2565,1.049169859514687
"AltitudeMaxm","Cultivar",1566,1556,3263,1.090038314176245
"AltitudeMaxm","Cultura",1566,875,2542,1.064495530012771
"AltitudeMaxm","DATA",1566,1277,2833,0.993614303959132
"AltitudeMaxm","DATAJ",1566,909,2551,1.048531289910600
"AltitudeMaxm","DIRVT2M1stQ",1566,1122,2598,0.942528735632184
"AltitudeMaxm","DIRVT2M3stQ",1566,1122,2613,0.952107279693487
"AltitudeMaxm","DIRVT2MMAX",1566,1044,2564,0.970625798212005
"AltitudeMaxm","DIRVT2MMED",1566,1140,2623,0.946998722860792
"AltitudeMaxm","DIRVT2MMEDIAN",1566,1129,2616,0.949553001277139
"AltitudeMaxm","DIRVT2MMIN",1566,1042,2538,0.955300127713921
"AltitudeMaxm","DIRVT2MSOMA",1566,1298,2794,0.955300127713921
"AltitudeMaxm","FOTOPERIODO1stQ",1566,1068,2713,1.050446998722861
"AltitudeMaxm","FOTOPERIODO3stQ",1566,994,2650,1.057471264367816
"AltitudeMaxm","FOTOPERIODOMAX",1566,973,2639,1.063856960408684
"AltitudeMaxm","FOTOPERIODOMED",1566,1035,2687,1.054916985951469
"AltitudeMaxm","FOTOPERIODOMEDIAN",1566,1035,2684,1.053001277139208
"AltitudeMaxm","FOTOPERIODOMIN",1566,1121,2773,1.054916985951469
"AltitudeMaxm","FOTOPERIODOSOMA",1566,1865,3405,0.986058981233244
"AltitudeMaxm","Fazenda",1566,3008,4658,1.027925531914894
"AltitudeMaxm","FungicidaPlanejado",1566,1013,2549,0.980842911877395
"AltitudeMaxm","Fungicidaaplicações",1566,995,2554,0.995530012771392
"AltitudeMaxm","HerbicidaPlanejado",1566,1015,2546,0.977650063856960
"AltitudeMaxm","Herbicidaaplicações",1566,984,2553,1.001915708812261
"AltitudeMaxm","InseticidaPlanejado",1566,1030,2549,0.969987228607918
"AltitudeMaxm","Inseticidaaplicações",1566,984,2554,1.002554278416347
"AltitudeMaxm","Latitude",1566,2415,3997,1.006625258799172
"AltitudeMaxm","Longitude",1566,2431,4021,1.009872480460716
"AltitudeMaxm","Município",1566,1525,3207,1.074074074074074
"AltitudeMaxm","PREC1stQ",1566,865,2519,1.056194125159643
"AltitudeMaxm","PREC3stQ",1566,1230,2840,1.028097062579821
"AltitudeMaxm","PRECMAX",1566,1321,2906,1.012132822477650
"AltitudeMaxm","PRECMED",1566,1181,2803,1.035759897828863
"AltitudeMaxm","PRECMEDIAN",1566,956,2600,1.049808429118774
"AltitudeMaxm","PRECMIN",1566,841,2475,1.043422733077906
"AltitudeMaxm","PRECSOMA",1566,1690,3219,0.978106508875740
"AltitudeMaxm","PopulaçãoPlanejadaplm2",1566,1165,2815,1.053639846743295
"AltitudeMaxm","Produtividadekgha",1566,1846,3376,0.980498374864572
"AltitudeMaxm","ProdutorID",1566,1388,2960,1.003831417624521
"AltitudeMaxm","Produçãoton",1566,2042,3494,0.944172380019589
"AltitudeMaxm","Propósito",1566,1123,2830,1.090038314176245
"AltitudeMaxm","RAD1stQ",1566,1289,2861,1.003831417624521
"AltitudeMaxm","RAD3stQ",1566,1276,2850,1.005108556832695
"AltitudeMaxm","RADMAX",1566,1216,2803,1.013409961685824
"AltitudeMaxm","RADMED",1566,1246,2824,1.007662835249042
"AltitudeMaxm","RADMEDIAN",1566,1282,2851,1.001915708812261
"AltitudeMaxm","RADMIN",1566,1181,2751,1.002554278416347
"AltitudeMaxm","RADSOMA",1566,1824,3352,0.979166666666667
"AltitudeMaxm","Safra",1566,907,2608,1.086206896551724
"AltitudeMaxm","SemeaduraDecendio",1566,1059,2668,1.027458492975734
"AltitudeMaxm","SemeaduraFinal",1566,1509,3142,1.042784163473819
"AltitudeMaxm","SemeaduraInício",1566,1513,3155,1.048531289910600
"AltitudeMaxm","SemeaduraMes",1566,1037,2732,1.082375478927203
"AltitudeMaxm","SoloClasse",1566,1566,3290,1.100893997445721
"AltitudeMaxm","SoloRelevo",1566,1015,2588,1.004469987228608
"AltitudeMaxm","SoloTextura",1566,1112,2731,1.033844189016603
"AltitudeMaxm","TIPOMANEJO",1566,935,2630,1.082375478927203
"AltitudeMaxm","TMAX1stQ",1566,1279,2888,1.027458492975734
"AltitudeMaxm","TMAX3stQ",1566,1300,2899,1.021072796934866
"AltitudeMaxm","TMAXMAX",1566,1241,2874,1.042784163473819
"AltitudeMaxm","TMAXMED",1566,1293,2900,1.026181353767561
"AltitudeMaxm","TMAXMEDIAN",1566,1303,2907,1.024265644955300
"AltitudeMaxm","TMAXMIN",1566,1267,2887,1.034482758620690
"AltitudeMaxm","TMAXSOMA",1566,1921,3474,0.993232691306611
"AltitudeMaxm","TMED1stQ",1566,1220,2843,1.036398467432950
"AltitudeMaxm","TMED3stQ",1566,1200,2843,1.049169859514687
"AltitudeMaxm","TMEDMAX",1566,1214,2854,1.047254150702427
"AltitudeMaxm","TMEDMED",1566,1214,2838,1.037037037037037
"AltitudeMaxm","TMEDMEDIAN",1566,1234,2853,1.033844189016603
"AltitudeMaxm","TMEDMIN",1566,1258,2876,1.033205619412516
"AltitudeMaxm","TMEDSOMA",1566,1884,3433,0.990976645435244
"AltitudeMaxm","TMIN1stQ",1566,1223,2842,1.033844189016603
"AltitudeMaxm","TMIN3stQ",1566,1203,2833,1.040868454661558
"AltitudeMaxm","TMINMAX",1566,1176,2819,1.049169859514687
"AltitudeMaxm","TMINMED",1566,1200,2837,1.045338441890166
"AltitudeMaxm","TMINMEDIAN",1566,1182,2829,1.051724137931034
"AltitudeMaxm","TMINMIN",1566,1204,2827,1.036398467432950
"AltitudeMaxm","TMINSOMA",1566,1864,3416,0.992489270386266
"AltitudeMaxm","TMOL1stQ",1566,1227,2843,1.031928480204342
"AltitudeMaxm","TMOLMEDIAN",1566,1187,2805,1.033205619412516
"AltitudeMaxm","TMOLMIN",1566,1208,2828,1.034482758620690
"AltitudeMaxm","Talhão",1566,3126,4668,0.992322456813820
"AltitudeMaxm","TipoSafra",1566,911,2593,1.074074074074074
"AltitudeMaxm","UF",1566,893,2532,1.046615581098340
"AltitudeMaxm","URMAX1stQ",1566,1271,2859,1.014048531289911
"AltitudeMaxm","URMAX3stQ",1566,1117,2743,1.038314176245211
"AltitudeMaxm","URMAXMAX",1566,1093,2721,1.039591315453384
"AltitudeMaxm","URMAXMED",1566,1261,2853,1.016602809706258
"AltitudeMaxm","URMAXMEDIAN",1566,1181,2798,1.032567049808429
"AltitudeMaxm","URMAXMIN",1566,1323,2884,0.996807151979566
"AltitudeMaxm","URMAXSOMA",1566,1957,3527,1.002043944813490
"AltitudeMaxm","URMED1stQ",1566,1426,2965,0.982758620689655
"AltitudeMaxm","URMED3stQ",1566,1383,2932,0.989144316730524
"AltitudeMaxm","URMEDMAX",1566,1159,2775,1.031928480204342
"AltitudeMaxm","URMEDMED",1566,1405,2950,0.986590038314176
"AltitudeMaxm","URMEDMEDIAN",1566,1415,2944,0.976372924648787
"AltitudeMaxm","URMEDMIN",1566,1341,2911,1.002554278416347
"AltitudeMaxm","URMEDSOMA",1566,1997,3528,0.982473710565849
"AltitudeMaxm","URMIN1stQ",1566,1433,2970,0.981481481481482
"AltitudeMaxm","URMIN3stQ",1566,1423,2966,0.985312899106003
"AltitudeMaxm","URMINMAX",1566,1228,2836,1.026819923371648
"AltitudeMaxm","URMINMED",1566,1448,2978,0.977011494252874
"AltitudeMaxm","URMINMEDIAN",1566,1427,2966,0.982758620689655
"AltitudeMaxm","URMINMIN",1566,1309,2885,1.006385696040868
"AltitudeMaxm","URMINSOMA",1566,1953,3452,0.965693804403482
"AltitudeMaxm","VTMED2M1stQ",1566,1136,2756,1.034482758620690
"AltitudeMaxm","VTMED2M3stQ",1566,1179,2777,1.020434227330779
"AltitudeMaxm","VTMED2MMAX",1566,1214,2794,1.008939974457216
"AltitudeMaxm","VTMED2MMED",1566,1160,2773,1.030012771392082
"AltitudeMaxm","VTMED2MMEDIAN",1566,1174,2789,1.031289910600255
"AltitudeMaxm","VTMED2MMIN",1566,1096,2710,1.030651340996169
"AltitudeMaxm","VTMED2MSOMA",1566,1732,3217,0.953233256351039
"AltitudeMaxm","codareaestacao",1566,1310,2897,1.013409961685824
"AltitudeMaxm","ÁreaColhidaha",1566,1887,3345,0.942766295707472
"AltitudeMaxm","ÁreaInsumoha",1566,1880,3336,0.941489361702128
"AltitudeMedm","AltitudeMinm",2293,1540,3712,0.947230702136938
"AltitudeMedm","AssistenteTécnicoID",2293,1197,3576,1.037505451373746
"AltitudeMedm","Ciclodias",2293,1602,3935,1.017444395987789
"AltitudeMedm","ClasseSoloBR",2293,1327,3799,1.078063672045355
"AltitudeMedm","ColheitaDecendio",2293,1039,3314,0.992150021805495
"AltitudeMedm","ColheitaFinal",2293,1494,3856,1.030091583078936
"AltitudeMedm","ColheitaInicial",2293,1499,3861,1.030091583078936
